V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51
1,,0.967005076142132,0.383760683760684,0.838860103626943,0.964467005076142,0.920918367346939,,0.295918367346939,0.314720812182741,,0.607142857142857,,0.977157360406092,0.558375634517767,,0.966836734693878,0.991452991452991,0.903553299492386,,0.467005076142132,0.709183673469388,0.67984693877551,,,,0.895939086294416,0.979695431472081,,,0.416243654822335,0.99492385786802,,0.423857868020305,0.83502538071066,0.931472081218274,0.730964467005076,0.959390862944162,0.395939086294416,,0.594387755102041,0.558375634517767,0.664957264957265,,1,0.929059829059829,0.969230769230769,0.982233502538071,0.555837563451777,0.819796954314721,0.588832487309645
2,,0.835097001763668,0.880263157894737,0.891804788213628,1,0.925133689839572,0.325396825396825,0.994818652849741,0.420212765957447,0.652849740932643,0.637632978723404,0.962962962962963,0.981958762886598,0.7,,0.981958762886598,0.982363315696649,0.49468085106383,0.694300518134715,0.921542553191489,0.732984293193717,0.809948979591837,0.890374331550802,,0.786458333333333,0.909326424870466,0.994791666666667,0.883597883597884,,0.400523560209424,1,,1,1,0.932291666666667,0.808290155440415,0.764627659574468,0.447916666666667,0.580310880829016,0.947368421052632,0.875886524822695,0.728947368421053,0.721929824561404,0.74869109947644,0.842440801457195,0.8,0.997435897435897,0.927461139896373,0.776315789473684,0.776041666666667
3,0.880952380952381,0.849324324324324,0.861111111111111,0.893939393939394,0.55586592178771,0.887978142076503,0.598888888888889,0.99468085106383,0.248595505617978,0.555135135135135,0.777287319422151,0.788623595505618,0.975675675675676,0.505376344086022,0.969369369369369,0.981081081081081,0.791208791208791,0.612637362637363,0.725935828877005,0.781420765027322,0.469034608378871,0.885361552028219,0.81146408839779,0.98936170212766,0.708783783783784,0.676523297491039,0.648395721925134,0.743253968253968,0.791216216216216,0.466216216216216,0.766666666666667,0.787292817679558,0.431693989071038,0.684303350970018,0.947297297297297,0.905263157894737,0.445970695970696,0.436720142602496,0.642857142857143,0.743518518518519,0.846994535519126,0.699099099099099,0.70970695970696,0.506830601092896,0.727969348659004,0.768258426966292,0.820478723404255,0.888172043010753,0.746415770609319,0.544157608695652
4,0.85792349726776,0.865,0.937205651491366,0.889306599832916,0.601694915254237,0.861878453038674,0.626815642458101,0.972826086956522,0.244318181818182,0.531491712707182,0.712296374146085,0.695348837209302,0.963276836158192,0.882513661202186,0.886111111111111,0.732407407407407,0.741111111111111,0.720994475138122,0.989304812834225,0.963369963369963,0.466640502354788,0.87292817679558,0.814124293785311,0.983695652173913,0.77247191011236,0.796816479400749,0.629834254143646,0.720154494382023,0.878021978021978,0.534530386740332,0.831746031746032,0.944761904761905,0.830555555555556,0.933783783783784,0.93070652173913,0.909574468085106,0.740331491712707,0.442652329749104,0.712912087912088,0.545454545454545,0.893258426966292,0.724719101123596,0.690476190476191,0.576111111111111,0.788954635108481,0.791666666666667,0.793010752688172,0.924175824175824,0.720303867403315,0.551104972375691
5,0.959297685554669,0.880747126436782,0.947625698324022,0.795965608465609,0.726744186046512,0.819522471910112,0.769852941176471,0.857142857142857,0.395375722543353,0.529494382022472,0.663986354775829,0.726900584795322,0.902312138728324,0.806581059390048,0.911344537815126,0.582857142857143,0.766522988505747,0.761363636363636,0.979838709677419,0.896306818181818,0.530266343825666,0.671910112359551,0.780672268907563,0.651933701657459,0.744670542635659,0.840441176470588,0.643258426966292,0.651445086705202,0.847457627118644,0.555555555555556,0.787037037037037,0.738690476190476,0.881142857142857,0.915846994535519,0.762430939226519,0.925724637681159,0.725925925925926,0.35989010989011,0.820616883116883,0.615568862275449,0.883720930232558,0.678037686809617,0.752840909090909,0.512429378531073,0.722727272727273,0.69812925170068,0.821428571428571,0.914285714285714,0.670520231213873,0.60391061452514
6,0.955714285714286,0.845029239766082,0.88604797979798,0.815950920245399,0.732037193575655,0.685057471264368,0.690909090909091,0.926388888888889,0.388888888888889,0.556286549707602,0.740686274509804,0.763026607538803,0.80787037037037,0.806107954545455,0.898628048780488,0.50843253968254,0.680147058823529,0.821637426900585,0.767150928167877,0.666525781910397,0.496770025839793,0.677586206896552,0.783532934131737,0.717726396917148,0.743664717348928,0.804890219560878,0.728994082840237,0.561913696060038,0.90531561461794,0.525950292397661,0.814739884393064,0.705284552845528,0.758823529411765,0.831647398843931,0.695075757575758,0.825,0.711864406779661,0.519183673469388,0.796296296296296,0.7184375,0.809580838323353,0.673076923076923,0.563904945407836,0.572368421052632,0.741410488245931,0.618055555555556,0.809431524547804,0.821548821548822,0.769345238095238,0.600649350649351
7,0.952485380116959,0.854291417165669,0.748663101604278,0.849827387802071,0.639015151515152,0.615249780893953,0.678365937859609,0.882225433526012,0.414609053497942,0.576558265582656,0.70398773006135,0.820468839336764,0.810966810966811,0.788888888888889,0.854037267080745,0.509704968944099,0.767132401862941,0.69294425087108,0.87624584717608,0.77782012195122,0.5003367003367,0.693827160493827,0.764539808018069,0.732784431137725,0.733469665985003,0.850813743218807,0.705792682926829,0.606481481481482,0.813030303030303,0.578313253012048,0.819760479041916,0.731922398589065,0.824636441402909,0.732884399551066,0.722222222222222,0.805780346820809,0.805232558139535,0.508403361344538,0.76937984496124,0.70058651026393,0.818930041152263,0.674179323860853,0.546107784431138,0.614141414141414,0.839285714285714,0.610576923076923,0.814141414141414,0.743125,0.797267150027886,0.705621301775148
8,0.955974842767296,0.814772727272727,0.749719416386083,0.838203463203463,0.682137834036568,0.577136075949367,0.719798657718121,0.913279132791328,0.476190476190476,0.565232974910394,0.684794372294372,0.784444444444445,0.834898278560251,0.799039780521262,0.881788079470199,0.530254777070064,0.70375,0.760548523206751,0.791834002677376,0.713194444444445,0.531168831168831,0.682484076433121,0.748986682107701,0.738113496932515,0.66025641025641,0.86873840445269,0.752688172043011,0.593333333333333,0.841614906832298,0.574367088607595,0.773892773892774,0.712740384615385,0.810405643738977,0.77810650887574,0.743845642049235,0.791916167664671,0.723372781065089,0.587025316455696,0.763473053892216,0.736678004535147,0.842300556586271,0.649716055756324,0.566358024691358,0.652287581699346,0.836663336663337,0.622532894736842,0.801298701298701,0.75137278828554,0.756944444444445,0.682643427741467
9,0.950757575757576,0.881369426751592,0.751602564102564,0.840507726269316,0.693173565722585,0.654480286738351,0.790042149631191,0.931412894375857,0.486019736842105,0.56734693877551,0.655629139072848,0.812961011591149,0.787769784172662,0.79817158931083,0.881292517006803,0.504058441558442,0.681168831168831,0.760897435897436,0.806369426751592,0.807006369426752,0.590006020469597,0.68961038961039,0.724780701754386,0.699305555555556,0.687537627934979,0.870300751879699,0.733780760626398,0.628310502283105,0.80276134122288,0.63562091503268,0.874727668845316,0.785182119205298,0.819713261648746,0.793796526054591,0.741717791411043,0.839135021097046,0.622727272727273,0.590686274509804,0.733238636363636,0.742498636115657,0.82875,0.654885654885655,0.52626582278481,0.642666666666667,0.838624338624339,0.710960960960961,0.780921052631579,0.747776033490319,0.758387445887446,0.716296296296296
10,0.85207100591716,0.830714285714286,0.694805194805195,0.764598540145985,0.68506006006006,0.681818181818182,0.804395604395604,0.815151515151515,0.516441005802708,0.510127931769723,0.691433566433567,0.761274509803922,0.758730158730159,0.729931972789116,0.838406198118428,0.505291005291005,0.617476851851852,0.800220750551876,0.704282407407407,0.76010101010101,0.549425287356322,0.63968824940048,0.685714285714286,0.672945205479452,0.608941418293936,0.810185185185185,0.656605113636364,0.648883928571429,0.80378726833199,0.66721222040371,0.848173515981735,0.823611111111111,0.705816554809843,0.806088207094918,0.711161387631976,0.829338446788111,0.624350649350649,0.640151515151515,0.685388127853881,0.755252100840336,0.786324786324786,0.660520094562648,0.507718120805369,0.592074592074592,0.826170798898072,0.662549129702414,0.787412587412587,0.742647058823529,0.68006993006993,0.703309692671395
